Kingdom	ScientificName	ChineseName	Comment	DR22041504P	DR22041505P	DR22041506P	DR22041507C	DR22041508C	DR22041509B	DR22041510B	DR22041511B	DR22041512E	DR22041513E	DR22041514P	DR22041515B	DR22041516B	DR22041517B	DR22041518P	DR22041519P	DR22041520P	DR22041521P	DRzknc590	DRzknc591	DRzknc592
-	Type	-	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA
Bacteria	Prevotella salivae	唾液普雷沃氏菌	5/21	0	0	0	0	0	2573.25	3174.6	0	0	0	0	0	0	10687.91	0	0	1300.46	2166.49	0	0	0
Bacteria	Streptococcus xiaochunlingii	链球菌属*	3/21	0	0	0	0	0	2843.38	0	0	0	0	0	0	0	680.14	0	0	0	249.98	0	0	0
Bacteria	Pseudomonas brassicacearum	油菜假单胞菌	5/21	938.78	0	0	1530.61	1314.48	0	0	0	0	969.15	0	0	0	0	0	1211.79	0	0	0	0	0
Bacteria	Streptococcus salivarius	唾液链球菌	9/21	22.35	0	0	11.77	14.85	2779.35	0	0	0	7.43	0	0	0	680.14	79.96	100.98	0	1249.9	0	0	0
Bacteria	Rothia aeria	罗氏菌属菌	7/21	0	0	0	5.89	22.28	2711.32	0	0	0	68.38	0	0	0	1068.79	0	0	108.37	166.65	0	0	0
Bacteria	Pseudomonas prosekii	假单胞菌属菌	6/21	737.61	0	0	1510.0	1255.07	2.0	0	0	0	969.15	0	0	0	0	0	976.17	0	0	0	0	0
Bacteria	Sphingomonas abaci	桌鞘氨醇单胞菌	10/21	2123.43	3268.85	0	912.48	1084.26	0	0	0	0	1004.82	4304.16	0	0	0	2158.79	2154.3	0	83.33	0	0	3972.76
Bacteria	Prevotella nanceiensis	南锡普雷沃氏菌	7/21	0	0	0	2.94	7.43	320.16	3174.6	0	0	0	0	0	2347.42	16323.36	0	0	56949.34	0	0	0	0
Bacteria	Rothia dentocariosa	龋齿罗氏菌	5/21	22.35	0	0	2.94	0	2659.29	0	0	0	7.43	0	0	0	0	0	0	0	2499.79	0	0	0
Bacteria	Methylobacterium dankookense	甲基杆菌属*	1/21	0	0	0	0	0	0	0	0	0	2005.18	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas silesiensis	假单胞菌属菌	4/21	0	0	0	1474.68	1255.07	0	0	0	0	969.15	0	0	0	0	0	875.19	0	0	0	0	0
Bacteria	Pseudomonas mohnii	莫氏假单胞菌	4/21	670.56	0	0	1486.46	1151.1	0	0	0	0	961.71	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Sphingomonas sanxanigenens	胞外多聚物鞘氨醇单胞菌	15/21	1922.26	3697.55	0	862.44	720.36	6.0	3174.6	0	0	1006.31	1434.72	1655.63	2347.42	0	2798.43	1750.37	54.19	0	5235.6	0	3405.22
Bacteria	Haemophilus sputorum	嗜血菌属*	2/21	0	0	0	2.94	0	2631.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Methylorubrum extorquens	扭脱甲基杆菌	6/21	89.41	53.59	0	41.21	81.69	0	0	0	0	1907.08	0	0	0	0	0	67.32	0	0	0	0	0
Bacteria	Sphingomonas hankookensis	鞘氨醇单胞菌属*	13/21	1743.45	3858.31	4494.38	803.57	1017.42	4.0	3174.6	0	0	970.63	2869.44	0	0	0	2478.61	1952.34	0	0	0	2212.39	1702.61
Bacteria	Sphingomonas turrisvirgatae	鞘氨醇单胞菌属*	9/21	2145.78	3751.14	0	712.32	1010.0	0	0	0	0	991.44	0	0	0	0	2638.52	2086.98	0	0	0	1106.19	3405.22
Bacteria	Pseudomonas asturiensis	假单胞菌属*	10/21	737.61	214.35	0	1412.87	1158.52	0	3174.6	2114.16	0	909.69	0	0	0	0	319.82	504.91	0	0	0	0	567.54
Bacteria	Pseudomonas moorei	莫尔氏假单胞菌	3/21	0	0	0	1515.89	1180.8	0	0	0	0	936.45	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas helleri	假单胞菌属*	6/21	737.61	0	0	1165.62	1500.14	0	0	0	0	923.07	0	0	0	0	719.6	605.9	0	0	0	0	0
Bacteria	Prevotella oris	口腔内普雷沃氏菌	7/21	0	0	0	5.89	7.43	562.27	0	0	0	16.35	0	0	0	5732.61	0	0	48875.64	249.98	0	0	0
Bacteria	Pseudomonas viridiflava	绿黄假单胞菌	4/21	894.07	0	0	1145.01	1269.92	0	0	0	0	921.58	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Oribacterium parvum	-	3/21	0	0	0	0	0	1510.73	0	0	0	0	0	0	7042.25	44889.23	0	0	0	0	0	0	0
Bacteria	Pseudomonas graminis	草假单胞菌	5/21	715.26	0	0	1127.35	1151.1	0	0	0	0	859.15	0	0	0	0	0	942.51	0	0	0	0	0
Bacteria	Pseudomonas parafulva	副黄假单胞菌	5/21	581.15	0	0	1224.49	972.86	0	0	0	0	853.21	0	0	0	0	0	538.58	0	0	0	0	0
Bacteria	Streptococcus australis	澳大利亚链球菌	2/21	0	0	0	0	0	2317.13	0	0	0	0	0	0	0	291.49	0	0	0	0	0	0	0
Bacteria	Pseudomonas reinekei	瑞士假单胞菌	4/21	759.96	0	0	1292.19	980.29	0	0	0	0	823.48	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Sphingomonas pituitosa	粘液鞘氨醇单胞菌	9/21	1922.26	2732.97	6741.57	815.34	720.36	0	0	0	0	802.67	0	0	0	0	2478.61	1885.01	0	0	0	0	1135.07
Bacteria	Lactobacillus selangorensis	乳杆菌	7/21	625.85	0	0	1136.18	1113.97	14.01	0	0	0	801.18	0	0	0	0	399.78	875.19	0	0	0	0	0
Bacteria	Pseudomonas alcaligenes	产碱假单胞菌	4/21	0	0	0	1142.07	1032.28	0	0	0	0	866.58	0	0	0	0	0	740.54	0	0	0	0	0
Bacteria	Aeromonas caviae	豚鼠气单胞菌	7/21	536.44	107.18	0	229.59	475.29	0	0	0	0	1382.37	0	0	0	0	239.87	0	0	0	0	0	1135.07
Bacteria	Pseudomonas agarici	伞菌假单胞菌	4/21	0	0	0	1280.41	958.01	0	0	0	0	784.83	0	0	0	0	0	370.27	0	0	0	0	0
Bacteria	Methylobacterium symbioticum	甲基杆菌属*	5/21	44.7	0	0	20.6	51.99	0	0	0	0	1593.44	0	0	0	0	0	67.32	0	0	0	0	0
Bacteria	Streptococcus cristatus	嵴链球菌	5/21	0	0	0	14.72	0	2151.05	0	0	0	4.46	0	0	0	194.33	0	0	0	83.33	0	0	0
Bacteria	Pseudomonas lundensis	隆德假单胞菌	6/21	514.09	375.11	0	1039.05	943.16	0	0	0	0	827.94	0	0	0	0	639.64	0	0	0	0	0	0
Bacteria	Burkholderia cepacia complex	洋葱伯克霍尔德菌复合群	14/21	-	-	0	-	-	-	0	-	0	-	-	-	0	-	-	-	0	0	0	-	-
Bacteria	Pseudomonas huaxiensis	假单胞菌属*	3/21	0	0	0	1109.69	868.89	0	0	0	0	813.07	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas taeanensis	假单胞菌属*	6/21	804.67	321.53	0	1159.73	839.19	0	0	0	0	697.13	0	0	0	0	0	605.9	0	0	0	0	0
Bacteria	Pseudomonas kilonensis	基尔假单胞菌	9/21	424.69	160.76	4494.38	1203.88	995.14	4.0	0	1057.08	0	628.76	0	0	0	0	0	942.51	0	0	0	0	0
Bacteria	Pseudomonas laurylsulfativorans	假单胞菌属*	4/21	447.04	0	0	1100.86	868.89	0	0	0	0	731.32	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Schaalia meyeri	麦氏放线菌	2/21	0	0	0	0	0	1966.96	0	0	0	0	0	0	0	0	0	0	0	999.92	0	0	0
Bacteria	Pseudomonas koreensis	韩国假单胞菌	2/21	0	0	0	1309.85	0	0	0	0	0	795.24	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Comamonas granuli	丛毛单胞菌属*	4/21	0	0	0	350.27	1284.77	0	0	0	0	978.06	0	0	0	0	0	841.52	0	0	0	0	0
Bacteria	Mycobacterium gordonae	戈登氏分枝杆菌	3/21	0	0	0	503.33	59.41	0	0	0	0	1177.25	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Haemophilus parahaemolyticus	副溶血嗜血杆菌	2/21	0	0	0	0	0	1938.94	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas baetica	贝提卡假单胞菌	2/21	0	0	0	1124.41	0	0	0	0	0	863.61	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinomyces oris	口腔放线菌	3/21	0	0	0	0	7.43	1812.88	0	0	0	0	0	0	0	0	0	0	0	3666.36	0	0	0
Bacteria	Streptococcus porci	链球菌属*	1/21	0	0	0	0	0	1894.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Methylobacterium durans	甲基杆菌属*	3/21	0	0	0	32.38	0	0	0	0	0	1380.88	0	0	0	0	159.91	0	0	0	0	0	0
Bacteria	Pseudomonas versuta	假单胞菌属菌	4/21	0	0	0	994.9	950.58	0	0	0	0	680.78	0	0	0	0	0	605.9	0	0	0	0	0
Bacteria	Pseudomonas deceptionensis	假单胞菌属*	4/21	581.15	0	0	1127.35	883.75	0	0	0	0	612.41	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas mediterranea	地中海假单胞菌	2/21	0	0	0	1250.98	0	0	0	0	0	764.02	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas abietaniphila	嗜松香烷假单胞菌	6/21	469.39	0	0	974.29	861.47	0	0	0	0	643.62	0	0	0	0	399.78	706.88	0	0	0	0	0
Bacteria	Pseudomonas caspiana	假单胞菌属*	4/21	424.69	0	0	980.18	816.91	0	0	0	0	685.24	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonas weihenstephanensis	假单胞菌属*	5/21	603.5	0	0	1044.94	950.58	0	0	0	0	581.19	0	0	0	0	0	370.27	0	0	0	0	0
Bacteria	Parvimonas micra	微小微单胞菌	1/21	0	0	0	0	0	1804.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Prevotella jejuni	空肠普雷沃菌	6/21	0	0	0	0	0	1286.63	22222.22	0	0	1.49	0	0	0	6509.91	0	0	9049.04	749.94	0	0	0
Bacteria	Acinetobacter johnsonii	约翰逊不动杆菌	10/21	603.5	428.7	0	309.07	646.1	2.0	0	0	0	920.09	30129.12	0	0	0	79.96	437.59	0	0	0	0	567.54
Bacteria	Streptococcus anginosus group	咽峡炎链球菌群	5/21	0	0	0	-	-	-	0	0	0	-	0	0	0	-	0	0	0	0	0	0	0
Bacteria	Neisseria cinerea	灰色奈瑟菌	3/21	0	0	0	0	0	1602.78	0	0	0	1.49	0	0	0	5441.12	0	0	0	0	0	0	0
Bacteria	Pseudomonas typographi	假单胞菌属*	6/21	402.33	0	0	794.74	683.23	0	0	0	0	685.24	0	0	2347.42	0	0	504.91	0	0	0	0	0
Bacteria	Aggregatibacter segnis	惰性凝聚杆菌	2/21	0	0	0	0	0	1704.83	0	0	0	4.46	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Stenotrophomonas maltophilia	嗜麦芽寡养单胞菌	10/21	223.52	0	0	1056.71	304.48	2.0	0	1057.08	0	613.89	0	13245.03	0	0	0	504.91	0	0	5235.6	0	567.54
Bacteria	Pseudomonas taetrolens	腐臭假单胞菌	5/21	402.33	0	0	809.46	727.79	0	0	0	0	679.29	0	0	0	97.16	0	0	0	0	0	0	0
Bacteria	Cupriavidus gilardii	吉氏贪铜菌	9/21	648.2	214.35	0	288.46	809.48	4.0	0	0	0	844.29	1434.72	0	0	0	79.96	370.27	0	0	0	0	0
Bacteria	Sphingomonas phyllosphaerae	叶球鞘氨醇单胞菌	11/21	1274.06	1714.81	0	476.84	534.7	6.0	0	0	74.01	624.3	1434.72	0	0	0	1599.1	1211.79	0	0	0	0	1702.61
